7535,621838,621860,101.71029,7535,7535,3,'Nex�vej',27,37,50,66,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.088,'','','',10862577,'11/12/01',4149440
7536,621860,621861,11.76534,7536,7536,3,'Nex�vej',39,39,68,68,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.010,'','','',10862577,'11/12/01',4149439
7537,621861,621886,132.15664,7537,7537,3,'Nex�vej',27,37,50,64,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.114,'','','',10862577,'11/12/01',4149471
7538,621886,621900,31.14607,7538,7538,3,'Nex�vej',39,39,66,68,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.027,'','','',10862577,'11/12/01',4149349
7539,621825,621838,111.38564,7539,7539,3,'Nex�vej',37,39,64,68,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.096,'','','',10862577,'11/12/01',4149348
7565,621964,621889,192.27225,7565,7565,3,'Nex�vej',0,0,0,0,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.166,'','','',10862577,'11/12/01',4149543
7566,621791,621825,228.40275,7566,7566,3,'Nex�vej',29,35,52,62,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.197,'','','',10862577,'11/12/01',4149524
7574,622312,622409,296.62321,7574,7574,3,'Nex�vej',55,61,78,80,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.256,'','','',10862577,'11/12/01',4149367
7575,622450,622409,238.76902,7575,7575,3,'R�nnevej',61,61,0,0,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.206,'','','',10870065,'11/12/01',4149441
7583,622649,622450,543.75479,7583,7583,3,'R�nnevej',57,59,0,0,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.469,'','','',10870065,'11/12/01',4149495
7615,622935,622649,998.39758,7615,7615,3,'R�nnevej',0,0,72,72,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.861,'','','',10870065,'11/09/01',4148369
7938,621094,621183,96.58303,7938,7938,3,'�kirkebyvej',0,0,0,0,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,0,80,0.083,'','','',10323627,'',2002665
7939,620943,621028,85.38943,7939,7939,3,'�kirkebyvej',159,159,0,0,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,0,80,0.074,'','','',10323627,'',2002736
7940,621028,621094,60.92339,7940,7940,3,'�kirkebyvej',0,0,0,0,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,0,80,0.053,'','','',10323627,'',2002737
7949,621183,621451,266.64333,7949,7949,3,'�kirkebyvej',0,0,0,0,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,0,80,0.230,'','','',10323627,'01/24/02',4157074
7980,621950,622031,126.08530,7980,7980,3,'�kirkebyvej',163,163,0,0,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,0,80,0.109,'','','',10323627,'',2002625
7986,621451,621950,631.70575,7986,7986,3,'�kirkebyvej',161,161,194,194,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,0,80,0.545,'','','',10323627,'01/24/02',4157073
8007,622417,622031,625.54284,8007,8007,3,'R�nnevej',129,131,132,134,'','','','B',7554,7554,3700,3700,409,4037,1,'38',0,0,80,0.540,'','','',10870064,'',2000251
8018,622800,622417,644.98204,8018,8018,3,'R�nnevej',127,127,126,130,'','','','',7554,7554,3700,3700,409,4037,1,'38',0,0,80,0.556,'','','',10870064,'11/12/01',4148878
8387,620711,620943,228.52639,8387,8387,3,'�kirkebyvej',0,0,192,192,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,0,80,0.197,'','','',10323627,'11/14/01',4150914
8421,620653,620711,45.75964,8421,8421,3,'�kirkebyvej',0,0,0,0,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,0,80,0.039,'','','',10323627,'11/14/01',4150863
8426,620309,620653,315.61332,8426,8426,3,'�kirkebyvej',0,0,0,0,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,0,80,0.272,'','','',10323627,'11/14/01',4150853
8995,619218,619192,30.20920,8995,8995,3,'�kirkebyvej',0,0,0,0,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,10,60,0.035,'','','',10323627,'11/14/01',4150871
8996,619239,619218,44.66544,8996,8996,3,'�kirkebyvej',0,0,67,67,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,10,60,0.051,'','','',10323627,'11/14/01',4150873
8997,619239,619264,51.67178,8997,8997,3,'�kirkebyvej',101,101,102,106,'','','','',7553,7553,3700,3700,407,9730,1,'38',0,10,60,0.059,'','','',10323627,'11/14/01',4150878
8998,619301,619337,45.13924,8998,8998,3,'�kirkebyvej',0,0,108,114,'','','A','',7553,7553,3700,3700,407,9730,1,'38',0,10,60,0.052,'','','',10323627,'11/14/01',4150885
8999,619361,619440,81.23985,8999,8999,3,'�kirkebyvej',109,111,118,128,'','','','',7553,7553,3700,3700,407,9730,1,'38',0,10,60,0.093,'','','',10323627,'11/14/01',4150887
9000,619264,619301,48.73328,9000,9000,3,'�kirkebyvej',103,107,108,108,'','','','',7553,7553,3700,3700,407,9730,1,'38',0,10,60,0.056,'','','',10323627,'11/14/01',4150889
9001,619361,619337,24.61469,9001,9001,3,'�kirkebyvej',116,116,0,0,'','','','',7553,7553,3700,3700,407,9730,1,'38',0,10,60,0.028,'','','',10323627,'11/14/01',4150894
9002,619192,619136,65.66178,9002,9002,3,'�kirkebyvej',68,68,0,0,'','','','',7552,7552,3700,3700,407,9730,1,'38',0,10,60,0.076,'','','',10323627,'11/14/01',4150900
9003,619456,619440,19.67697,9003,9003,3,'�kirkebyvej',130,130,0,0,'','','','',7553,7553,3700,3700,407,9730,1,'38',0,10,60,0.023,'','','',10323627,'11/14/01',4150925
9133,619535,619509,26.37039,9133,9133,3,'�kirkebyvej',0,0,119,119,'','','','',7553,7553,3700,3700,407,9730,1,'38',0,10,60,0.030,'','','',10323627,'11/14/01',4150896
9134,619456,619509,58.32803,9134,9134,3,'�kirkebyvej',117,117,132,134,'','','','',7553,7553,3700,3700,407,9730,1,'38',0,10,60,0.067,'','','',10323627,'11/14/01',4150927
9135,619541,619535,6.25123,9135,9135,3,'�kirkebyvej',0,0,0,0,'','','','',7553,7553,3700,3700,407,9730,1,'38',0,10,60,0.007,'','','',10323627,'11/14/01',4150930
9190,619541,619614,111.84909,9190,9190,3,'�kirkebyvej',123,125,140,154,'','','','',7553,7553,3700,3700,407,9730,1,'38',0,10,60,0.129,'','','',10323627,'11/14/01',4150891
9191,619614,619679,93.47822,9191,9191,3,'�kirkebyvej',0,0,156,158,'','','','',7553,7553,3700,3700,407,9730,1,'38',0,0,60,0.107,'','','',10323627,'11/14/01',4150861
9192,619694,619640,38.62300,9192,9192,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,0,1,'',0,0,80,0.033,'ft','','',1,'12/11/01',4127730
9209,619712,619701,5.05000,9209,9209,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,9730,1,'',0,0,80,0.004,'ft','','',1,'12/11/01',4150775
9210,619701,619694,5.95674,9210,9210,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,9730,1,'',0,0,80,0.005,'ft','','',1,'12/11/01',4150800
9211,619748,619723,33.01293,9211,9211,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,0,1,'',0,0,80,0.028,'ft','','',1,'12/11/01',4150676
9212,619723,619712,5.02219,9212,9212,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,0,1,'',0,0,80,0.004,'ft','','',1,'12/11/01',4150761
